name,barcode,quantityUnitType,salesPrice,productDesc,category,brand,productImg
"MIO-E с вит. Злаки-Отруби 1,5 % 0,45 кг. Натиже",4870003750808,pcs,,,,,
"MIO-B с вит. Клубника 1,5% 0,45 кг.Натиже",4870003750860,pcs,,,,,
"MIO-C с вит. Персик-Маракуйя 1,5% 0,45 кг. Натиже",4870003750822,pcs,,,,,
"MIO-D с вит. чернослив-Орех 1,5 % 0,45 кг. Натиже",4870003751096,pcs,,,,,
"MIO-S смородина - малина - ромашка 1,5 %  0,45 кг п/п Натиже",4870003752949,pcs,,,,,
"Живой йогурт со вкусом малины 1,5% 0,9 кг п/п Натиже",4870003752604,pcs,640,,,,
"Живой йогурт со вкусом манго - маракуйя 1,5% 0,9 кг п/п Натиже",4870003752710,pcs,640,,,,
"Живой йогурт мадагаскарская ваниль с витамином  1,5% 0,9 кг п/п Натиже",4870003753090,pcs,,,,,
"MIOS смородина - малина - ромашка 1,5 % 0.9 кг п/п, шт Натиже",4870003753106,pcs,,,,,
"MIOS злаки-отруби 1,5 %  0,9 кг п/п, шт Натиже",4870003753113,pcs,,,,,
"Нарине-L 1,5 %, 0,45 кг.Натиже",4870003751089,pcs,,,,,
"Снежок 1,5 %, 0,45 кг.Натиже",4870003750150,pcs,,,,,
"Снежок 1,5 %, 0,9 кг.Натиже",4870003750037,pcs,640,,,,
"Сметана 10%, 360 гр Натиже",4870003753243,pcs,,,,,
"Сметана 15 %, 180 гр.Натиже",4870003750129 2575002590012,pcs,395,,,,
"Сметана 15 %, 360 гр.Натиже",4870003750259,pcs,655,,,,
"Сметана 15 %, 500 гр.Натиже",4870003750112,pcs,,,,,
"Сметана 20 %, 180 гр.Натиже",4870003750570,pcs,420,,,,
"Сметана 20 %, 360 гр.Натиже",4870003751195,pcs,705,,,,
"Сметана 20 %, 500 гр. Натиже",4870003750495,pcs,,,,,
"Творог ""Крестьянский"" 4 %, 200 гр.Натиже",4870003750556,pcs,575,,,,
"Творог Крестьянский 4 %, 0,4 кг.Натиже",4870003751270,pcs,,,,,
"Құрт соленый 12 %, 100 гр.Натиже",4870003750266,pcs,,,,,
"Творожная масса с изюмом 4.5 %, 200 гр.Натиже",4870003751133,pcs,,,,,
"Творожная масса с изюмом н/ж, 200 гр.Натиже",4870003750709,pcs,,,,,
"Твор. масса Протейн+ Персик-Маракуя 1.5 %, 140 гр.Натиже",4870003751386,pcs,,,,,
"Твор. масса Протейн+ Чернослив-Орех 1.5 %, 140 гр.Натиже",4870003750884,pcs,,,,,
"Твор. масса Протейн+ Злаки-Отруби 1.5 %, 140 гр.Натиже",4870003751393,pcs,,,,,
"Масло ""Крестьянское"" 72,5 % 0,250 гр Натиже",4870003753304,pcs,,,,,
"Масло ""Крестьянское"" 71,5 % соленое 0,250 гр Натиже",4870003753311,pcs,,,,,
"Завтрак с овсянкой, цветочным медом и пробиотиками 2,5 % 0,14 кг п/ст Натиже",4870003751768,pcs,385,,,,
