Номенклатура,Штрихкоды,Ед.,Основной тип цен
Активиа 270 гр Злаки,4870206411582,шт,510
Активиа 270 гр Чернослив,4870206411599,шт,500
Активиа 270 гр Манго-Маракуйя,4870206415122,шт,510
Активиа 670 гр Злаки,4870206411742,шт,930
Активиа 670 гр Клубника-Земляника,4870206411735,шт,930
Активиа 670 гр Персик,4870206415009,шт,930
Активиа 670 гр Чернослив,4870206411711,шт,930
Активиа 670 гр Манго,4870206415313,шт,930
"Актимель 1*95 гр., Гранатовый",8696368202563,шт,310
"Актимель 1*95 гр., Клубничный",8696368202556,шт,310
"Актимель 1*95 гр., С земляникой",8696368202594,шт,290
Актимель 1*95 гр Киви-клубника,8696368202648,шт,290
Актимель 1*95 гр Ягодный микс,8696368202631,шт,290
Актимель КИДС клубника банан,8696368202617,шт,310
Актимель КИДС малиновое мороженое,8696368202655,шт,310
Данонино 100 гр. Клубника,4870206415399,шт,230
Данонино 100 гр. Яблоко,4870206415412,шт,220
Данонино 100 гр. Банан,4870206415405,шт,220
Растишка коктейль 210 гр. Бабл гам,4600605029039,шт,490
Растишка коктейль 210 гр. ваниль,4600605026878,шт,450
Растишка поре 85гр смуз,4600605026120,шт,380
Растишка пюре 85гр груша,4600605026007,шт,380
Растишка пюре 85гр яб банан,4600605025994,шт,380
"Сырок сгущенка, 40 гр, 20%",4600605028872,шт,465
"Сырок клубника, 40 гр, 20%",4600605028834,шт,465
"Сырок ваниль, 40 гр, 20%",4600605028858,шт,465
"Сырок ирис, 40 гр 20%",4600605029725,шт,360
Данон 270 гр Малина,4870206415344,шт,385
Данон 670 гр Клубника,4870206415368,шт,770
Данон 670 гр Малина,4870206415375,шт,770
Данон 670 гр Гранат,4870206415351,шт,770
Творог мягкий 5% 170г,4600605032350,шт,490
Творог десерт 130г клубника,4600605032497,шт,350
Творог десерт 130г персик,4600605032527,шт,350
"ШД молоко 300 гр 7,1% ж/б",4810108009876,шт,900
"Молоко Зенченко(Родина) 3,2% -0,9л",4870006421361 4870005730679,шт,450
"Кефир Зенченко 2,5% -1л",4870006421309,шт,460
Сметана Зенченко 15% -200гр,4870006420067,шт,405
Сметана Зенченко 15% -400гр,4870006420869,шт,735
Сметана Зенченко 20% -200гр,4870006420074,шт,420
Сметана Зенченко 20% -400гр,4870006420807,шт,765
ТворогЗенченко 0% -200гр,4870006420104,шт,380
ТворогЗенченко 5% -200гр,4870006420081,шт,360
"Сливки Президент для соуса 23 % 0,20 гр.",4601662006452,шт,900
